Samples	Description	Subject	Sex.Coriell	Ethnicity.Coriell	Alt_Pop_ID	Age
GSM136441.CEL.gz	GM18956	GM18956	Female	JAPANESE	JPT	NA
GSM136442.CEL.gz	GM18942	GM18942	Female	JAPANESE	JPT	NA
GSM136443.CEL.gz	GM18944	GM18944	Male	JAPANESE	JPT	NA
GSM136444.CEL.gz	GM18945	GM18945	Male	JAPANESE	JPT	NA
GSM136445.CEL.gz	GM18949	GM18949	Female	JAPANESE	JPT	NA
GSM136506.CEL.gz	GM18952	GM18952	Male	JAPANESE	JPT	NA
GSM136507.CEL.gz	GM18943	GM18943	Male	JAPANESE	JPT	NA
GSM136508.CEL.gz	GM18947	GM18947	Female	JAPANESE	JPT	NA
GSM136509.CEL.gz	GM18948	GM18948	Male	JAPANESE	JPT	NA
GSM136510.CEL.gz	GM18953	GM18953	Male	JAPANESE	JPT	NA
GSM136514.CEL.gz	GM18961	GM18961	Male	JAPANESE	JPT	NA
GSM136515.CEL.gz	GM18970	GM18970	Male	JAPANESE	JPT	NA
GSM136516.CEL.gz	GM18540	GM18540	Female	HAN CHINESE	CHB	NA
GSM136517.CEL.gz	GM18542	GM18542	Female	HAN CHINESE	CHB	NA
GSM136518.CEL.gz	GM18550	GM18550	Female	HAN CHINESE	CHB	NA
GSM136520.CEL.gz	GM18552	GM18552	Female	HAN CHINESE	CHB	NA
GSM136521.CEL.gz	GM18555	GM18555	Female	HAN CHINESE	CHB	NA
GSM136522.CEL.gz	GM18959	GM18959	Male	JAPANESE	JPT	NA
GSM136523.CEL.gz	GM18960	GM18960	Male	JAPANESE	JPT	NA
GSM136524.CEL.gz	GM18965	GM18965	Male	JAPANESE	JPT	NA
GSM136528.CEL.gz	GM18966	GM18966	Male	JAPANESE	JPT	NA
GSM136529.CEL.gz	GM18967	GM18967	Male	JAPANESE	JPT	NA
GSM136530.CEL.gz	GM18968	GM18968	Female	JAPANESE	JPT	NA
GSM136531.CEL.gz	GM18971	GM18971	Male	JAPANESE	JPT	NA
GSM136532.CEL.gz	GM18972	GM18972	Female	JAPANESE	JPT	NA
GSM136534.CEL.gz	GM18973	GM18973	Female	JAPANESE	JPT	NA
GSM136535.CEL.gz	GM18974	GM18974	Male	JAPANESE	JPT	NA
GSM136536.CEL.gz	GM18975	GM18975	Female	JAPANESE	JPT	NA
GSM136537.CEL.gz	GM18976	GM18976	Female	JAPANESE	JPT	NA
GSM136538.CEL.gz	GM18978	GM18978	Female	JAPANESE	JPT	NA
GSM136539.CEL.gz	GM18980	GM18980	Female	JAPANESE	JPT	NA
GSM136540.CEL.gz	GM18969	GM18969	Female	JAPANESE	JPT	NA
GSM136541.CEL.gz	GM18987	GM18987	Female	JAPANESE	JPT	NA
GSM136542.CEL.gz	GM18990	GM18990	Male	JAPANESE	JPT	NA
GSM136543.CEL.gz	GM18991	GM18991	Female	JAPANESE	JPT	NA
GSM136544.CEL.gz	GM18992	GM18992	Female	JAPANESE	JPT	NA
GSM136545.CEL.gz	GM18995	GM18995	Male	JAPANESE	JPT	NA
GSM136546.CEL.gz	GM19005	GM19005	Male	JAPANESE	JPT	NA
GSM136547.CEL.gz	GM18524	GM18524	Male	HAN CHINESE	CHB	NA
GSM136548.CEL.gz	GM18529	GM18529	Female	HAN CHINESE	CHB	NA
GSM136549.CEL.gz	GM18532	GM18532	Female	HAN CHINESE	CHB	NA
GSM136550.CEL.gz	GM18547	GM18547	Female	HAN CHINESE	CHB	NA
GSM136551.CEL.gz	GM18561	GM18561	Male	HAN CHINESE	CHB	NA
GSM136552.CEL.gz	GM18994	GM18994	Male	JAPANESE	JPT	NA
GSM136553.CEL.gz	GM18526	GM18526	Female	HAN CHINESE	CHB	NA
GSM136555.CEL.gz	GM18537	GM18537	Female	HAN CHINESE	CHB	NA
GSM136556.CEL.gz	GM18593	GM18593	Female	HAN CHINESE	CHB	NA
GSM136557.CEL.gz	GM18603	GM18603	Male	HAN CHINESE	CHB	NA
GSM136558.CEL.gz	GM18605	GM18605	Male	HAN CHINESE	CHB	NA
GSM136559.CEL.gz	GM18545	GM18545	Female	HAN CHINESE	CHB	NA
GSM136563.CEL.gz	GM18558	GM18558	Male	HAN CHINESE	CHB	NA
GSM136564.CEL.gz	GM18563	GM18563	Male	HAN CHINESE	CHB	NA
GSM136565.CEL.gz	GM18566	GM18566	Female	HAN CHINESE	CHB	NA
GSM136566.CEL.gz	GM18577	GM18577	Female	HAN CHINESE	CHB	NA
GSM136567.CEL.gz	GM18582	GM18582	Female	HAN CHINESE	CHB	NA
GSM136568.CEL.gz	GM18592	GM18592	Female	HAN CHINESE	CHB	NA
GSM136569.CEL.gz	GM18999	GM18999	Female	JAPANESE	JPT	NA
GSM136570.CEL.gz	GM19000	GM19000	Male	JAPANESE	JPT	NA
GSM136571.CEL.gz	GM19003	GM19003	Female	JAPANESE	JPT	NA
