Gene	Probe	lm_ethnicity_pvalue.adj_batch_year	lm_ethnicity_fdr.adj_batch_year	lm_ethnicity_pvalue.adj_PCA	lm_ethnicity_fdr.adj_PCA	lm_PC1_pvalue	lm_PC1_fdr	lm_PC2_pvalue	lm_PC2_fdr
DPYSL2	200762_at	3.92133051977944e-10	2.65232763541697e-07	4.58022046085902e-16	4.02738785123333e-12	0.0131680271701431	0.02202519743334	1.51252835685573e-05	2.50700505972336e-05
HSPB1	201841_s_at	0.622811205245135	0.857959313501623	0.0587015296010905	0.204745160564216	2.03830654791078e-10	1.1139110923418e-09	0.547162493566919	0.580361858375624
ARL4C	202207_at	0.0111529708347242	0.185605745860646	0.0011616273681105	0.0169953235404253	0.000968945997532891	0.00201179271695554	0.0222750897468972	0.028177940461008
DNAJB9	202842_s_at	0.0412028444310381	0.3320775536958	0.619433073626726	0.802161268983771	6.92450686634903e-19	1.142348759396e-17	1.97607633628964e-07	3.86297003668181e-07
CTSS	202902_s_at	0.828875286982057	0.943958088127604	0.589506511710859	0.783398866726399	1.53094576239857e-15	1.63965969412553e-14	0.0168993798492644	0.021639179702138
ADM	202912_at	4.6917503700035e-05	0.00463534393297087	0.123548976614196	0.321695632623224	2.18953154489724e-05	5.88763023678331e-05	0.702139732663443	0.727284093451484
NFIL3	203574_at	0.182292450229656	0.575805643375517	1.69399430948102e-08	6.77058725603029e-06	0.0133447736954697	0.0223038576514474	0.000477745488534249	0.000698506165726913
STS	203767_s_at	0.344175351075998	0.711576266637962	0.0326076656035961	0.143178424321666	0.000331778088080807	0.00074081379596103	0.000836520277772179	0.00120050967887233
IL32	203828_s_at	0.00951171267322028	0.171035765921525	9.89854165789998e-06	0.000644725013317885	0.25361582890167	0.313913849033275	0.253420530175448	0.284044196536993
WFDC2	203892_at	0.0179298955286068	0.231523854144519	0.0565898806766391	0.200724009999874	0.00027620978477453	0.000624026885283258	0.206095718714157	0.233651322157502
SLC2A5	204429_s_at	0.266558698832744	0.657794950017647	0.457375675876695	0.684750694028447	8.39992837016525e-20	1.60218156526818e-18	0.93982512000658	0.946607363140648
MAN2A1	205105_at	0.0172095352868247	0.229625863091122	0.0939832362789117	0.275373074508654	3.69418340888218e-13	2.86193433606176e-12	1.1734046951207e-05	1.96640889731204e-05
PSPH	205194_at	0.773863957820572	0.924159416150522	0.973139196975871	0.986831156615019	2.55790435864237e-06	7.95038989944941e-06	2.44012265742875e-28	7.24864815093614e-27
TCF7	205255_x_at	9.4979456259796e-05	0.00803033037396526	6.31546891582403e-05	0.00232351122078831	3.05759732537678e-06	9.39393895249407e-06	0.12199652050079	0.141743578853521
