Gene	Probe	lm_ethnicity_pvalue.adj_batch_year	lm_ethnicity_fdr.adj_batch_year	lm_ethnicity_pvalue.adj_PCA	lm_ethnicity_fdr.adj_PCA	lm_PC1_pvalue	lm_PC1_fdr	lm_PC2_pvalue	lm_PC2_fdr
DPYSL2	200762_at	1.29360061200657e-10	5.42254579450143e-07	7.54662874768612e-13	6.6357506578404e-09	0.0522235289052681	0.0825604979618883	4.23013779280284e-05	7.22946581382223e-05
HSPB1	201841_s_at	0.274514806567908	0.603905102364677	0.324445443266803	0.606318476832016	9.03162634321502e-09	5.48825780482997e-08	0.440173304956003	0.478541527012627
ARL4C	202207_at	5.97117164982115e-05	0.00413421356825806	0.00106414935322751	0.0238093263687773	0.0156692204670759	0.0282856611716277	0.0933117104646563	0.112611840531941
DNAJB9	202842_s_at	0.740900977047968	0.901947764483482	0.487451827677296	0.738357264559252	5.74730230209391e-16	1.13459792948618e-14	0.000106736993695694	0.000174806925976203
CTSS	202902_s_at	0.272556014244772	0.602674929382044	0.707045107065909	0.867939079496097	1.2447178699329e-19	4.5226463761653e-18	0.415169668741156	0.453658120696034
ADM	202912_at	0.665834631122387	0.870952245952309	0.34547862240671	0.622881592540948	5.7327122193571e-05	0.000177993427064997	0.806500071419233	0.827582579996419
NFIL3	203574_at	0.00107803618041655	0.0242828536375969	4.97803714500735e-06	0.000810590381778698	0.00513854355531521	0.0104036871936188	0.000613477248119607	0.000932464207902456
STS	203767_s_at	0.600341063769422	0.836030889048127	0.465350302756037	0.722554337300695	3.36786040365618e-06	1.3120778258462e-05	0.00186807845461454	0.00271414637333536
IL32	203828_s_at	0.0098399945730215	0.0999111689152172	0.0036414933559521	0.0508552042890981	0.650389994097711	0.711657443765701	0.273825791484031	0.309280691653062
WFDC2	203892_at	0.0479484313703364	0.249494227574166	0.210120809613619	0.48482877160846	0.00134288820006077	0.00310084452288192	0.137191949675517	0.161662933998502
SLC2A5	204429_s_at	0.0402696530318035	0.228298555195776	0.877395489742603	0.948247116679782	9.52470494938622e-20	3.51893826134256e-18	0.0519371115015134	0.0647410010537011
MAN2A1	205105_at	0.0105974221101954	0.104572172345934	0.170250209509471	0.434102743355504	4.97281412118384e-12	5.18694597480065e-11	0.00308325348137329	0.00438335454514395
PSPH	205194_at	0.632469178449346	0.853655038783599	0.875877702856604	0.947655056136104	4.0385903697709e-06	1.55342629577408e-05	2.85565982413883e-27	1.24306023928974e-25
TCF7	205255_x_at	1.49299203987949e-05	0.0018489970431916	0.00039256041693303	0.0130291171495733	5.91021547948336e-06	2.21048595113131e-05	0.673257008047342	0.703248856231917
CD38	205692_s_at	0.0110480204021321	0.107010928162446	0.0198129371098046	0.133293921963666	1.92825370940528e-05	6.52622589176313e-05	9.38459189865963e-05	0.000155022950525858
FCER2	206760_s_at	1.30793598775431e-05	0.00179698142817557	8.43508834975007e-05	0.00493452081401618	0.367887910085634	0.447976512031987	0.0412674982534778	0.0520759345784774
UGT2B17	207245_at	6.2735775374708e-07	0.000312060525432243	1.51893743535291e-07	5.56500702877422e-05	0.950654688550824	0.961716278801427	0.0962228813028043	0.115886562840098
